question,wrong_choices,correct_answer
"IBM Stands for _________?","Integrated Business Machine, Information Business Machines, International Business Model","International Business Machine"
"First Computer for home use was introduced in 1981 by which company?","Apple, Intel, Dell","IBM"
"In MS-Word to insert Mathematically sign we use option:","Symbol, Objects, Shapes","Equation"
"File Management is responsibly of__________?","Task Manager, RAM, BIOS","Operating System"
"Half of a byte is called?","Transistor, Compiler, Binary Digit","Nibble"
"What Does SIM Stand for on a Cell Phone?","Subscriber Inline module, Secret Internet module, Subscriber Interface Module","Subscriber identity module"
"In MS Word Ctrl+Shift+C is shortkey of:____________?","Copy, Indent Left, Paste","Copy Format Painter"
"In MS-Word to highlight text, line or any particular informative paragraph, we use:___________?","Different Font Color, Background, Font Effects","Shade"
"What would you do when you want to update the data in an embedded worksheet range?","right click worksheet range object & choose format object, edit the data in the destination document, edit the data in the source document.","double click the worksheet range object"
"Which command is used to establish a link between a source document and a destination document?","Tools, Link, Documents, Tools, Link, Edit, Link","Edit, Paste Special"
"To select multiple cells, rows, or columns in a table that are not adjacent to one another, select the first cell and then hold down the ________ key while selecting the next cell, row, or column.","alt, shift, enter","ctrl"
"Pressing the _____ key instructs Word to replace an AutoText entry name with the stored AutoText entry","f1, f2, f4","f3"
"Which simplifies the process of formatting text if the same formatting is required in more than one location?","Auto Text, Font dialog box, None of the above","Format Painter"
"If you need to change the typeface of a document, which menu will you choose?","Edit, View, Tools","Format"
"To change margin settings in Word 2016, click ________ on the menu bar and then point to the Page Margins.","File, Format, Tools","Layout"
"Select a ________ to apply a predefined format to a Word 2016 table?","Table format, Format Style, None of above","Table style"
"Changing the appearance of a document is called___________?","Proofing, Editing, All of above","Formatting"
"Which key is used to increase left indent in Ms Word?","Ctrl+I, Alt+I, F10","Ctrl+M"
"When typing in a word field manually, what must you press to insert the code’s brackets?","Ctrl + F6, Alt + F11, Shift + F12","Ctrl + F9"
"How can you make the selected character super-scripted in Ms Word?","Ctrl + =, Alt + Ctrl + Shift + =, None of above","Ctrl + Shift + ="
"What does Ctrl + = key effect?","Superscript, All Caps, Shadow","Subscript"
"The Footnote Text style defines characters as ___________?","12-point Times New Roman and paragraphs as single-spaced and right-aligned, 10-point Times New Roman and paragraphs as double-spaced and left-aligned, 12-point Times New Roman and paragraphs as double-spaced and right-aligned","10-point Times New Roman and paragraphs as single-spaced and left-aligned"
"Word is preset to use standard 8.5-by-11-inch paper with _______ margins?","1-inch left, right, top, and bottom, 1.25-inch left, right, top, and bottom, 1-inch left and right margins and 1.25-inch top and bottom","1.25-inch left and right margins and 1-inch top and bottom"
"How much space in minimum must be provided between columns?","0.5″, 1″, 1.5″","0″"
"Which of the following term means to reckon?","com, computa, computar","putare"
"The _________ in the Resume Wizard dialog box indicates the wizard is ready to create the document.","Start panel, Add/Sort Heading panel, Address panel","Finish panel"
"What is a Document Outline View in Ms Word?","A preview in a full screen, A preview with margins, A View with a margins and gutter","A view with a structure of heading at various levels"
"What do you call ‘a collection of character and paragraph formatting commands’?","the defaults, a template, a boilerplate","a style"
"By default, your document prints with__________?","1 inch top and bottom margins, a portrait orientation, 1.25 inches left and right margins","all of the above"
"Which of the following button will allow you to add, delete, or change records in your Data Source?","‘Data Source’ button, ‘Edit’ button, ‘Data Editing’ button","‘Edit Data Source’ button"
"HTTP stands for___________?","Hypertext transfer processor, High transfer protocol, None","Hypertext Transfer Protocol"
"The file type ________ indicates the file is a Word document.",".msw, .wor, .wrd",".docx"
"Ms Word, by default, places a tab stop at every _________ mark on the ruler.",".25″, .75″, 1″",".5″"
"Word stores all frames associated with a Web page in a single file called the __________.","authoring page, text page, hyperlink page","frames page"
"If you need to hide some paragraphs, how can you do it in Ms Word?","From Paragraph dialog box, From Options Dialog box, None of above","From Font dialog box"
"__________ are types of wizards and templates in the Resume Wizard dialog box.","Standard, Contemporary, and Sophisticated, Formatted, Unformatted, and Graphic, Basic, Comprehensive, and Formatted","Professional, Contemporary, and Elegant"
"What is the tool in Word that copies only the format of selected text so that you can apply on other text?","Copy, Paste, Paste Special","Format Painter"
"Although it is not shown in normal view, to view a header, click _________ on the menu bar and then click Header and Footer.","Edit, Format, Tools","View"
"The MLA style specifies that a superscript be used for a note reference mark to signal an explanatory note exists either at the bottom of the page as a(n) __________.","footnote or at the end of the document as a startnote, headnote or at the end of the document as an endnote, headnote or at the end of the document as a startnote","footnote or at the end of the document as an endnote"
"Which of the following function key activates the speller in Ms Word?","F5, F9, Shift + F7","F7"
"Which keystroke is used for updating a field in Ms Word?","F6, F11, F12","F9"
"The paragraph mark (¶) is a formatting mark that indicates where the ________ was pressed","Tab key, Spacebar, Shift key","Enter key"
"To display more of the document on the screen in print layout view, the _________ can be hidden","white space at the top of the pages, white space at the bottom of the pages, gray space between pages","all of the above"
