question,wrong_choice,correct_answer
"Who won the ” Best Fielder Award” in PSL-9 ,2024 ?","A. Shadab Khan
B. Kerion Pollard

D. Collin Munro",C. Irfan Khan Niazi
"The total number of Sixes hit by Saim Ayub in PSL-9 ,2024 ?","A. 16
B. 17
C. 19",D. 21
"Who hit the most number of Sixes in PSL-9 ,2024 ?","A. Kerion Pollard
B. Rassi Vander Dussen
C. Fakhar Zaman",D. Saim Ayub
"Being the Highest Wicket taking bowler of PSL-9,2024 Usama Mir took ________ wickets?","A. 17
B. 19
C. 21",D. 23
"Who was the Second highest Wicket-tacking bowler of PSL-9,2024 ?","A. Usama Mir
B. Imad Waseem
C. David Willey",D. Muhammad Ali
"The total number of runs Scored by Babar Azam in PSL-9 ,2024?","A. 539
B. 549
C. 559",D. 569
"The total number of teams Participated in PSL-9, 2024 ?","A. 3
B. 5
C. 4",D. 6
"Who was awarded with the ” Player of the tournament ” In PSL-9 ,2024?","A. Babar Azam
B. Usama Mir

D. Imad Waseem",C. Shadab Khan
"Who won the ‘ Man of the Match ” award in the Final match of PSL-9 ,2024 ?","A. Shadab Khan
B. Usama Mir

D. Tabraiz Shamsi",C. Imad Waseem
"The highest Wicket-taking bowler of PSL-9 ,2024 was _____________?","A. Shadab Khan

C. Imad Waseem
D. Shaheen Shah Afridi",B. Usama Mir
"Most Runs – Scorer of PSL-9 ,2024 was ____________?","A. Usama Mir
B. Shadab Khan

D. Rassi Vander Dussen",C. Babar Azam
"Runner-Up team of PSL-9 ,2024 Season was __________?","A. Islamabad United
B. Peshawar Zalmi
C. Karachi Kings",D. Multan Sultans
"Which team became the Champion of PSL-9 ,held in February – March 2024 ?","A. Multan Sultans
B. Karachi Kings
C. Peshawar Zalmi",D. Islamabad United
Two Pakistani Business-women have been recognized by Forbes in its “100 Most influential Businesswomen 2024 list” are ___________?,"B. Malala Yousafzai, Arfa Karim
C. Nigar Johar ,Maryam Nawaz
D. None of these","A. Shazia Syed ,Shaista Asif"
Who is the Current Chief Minister of PUNJAB?,"B. Mohsin Naqvi
C. Hamza Shahbaz Sharif
D. None of these",A. Maryam Nawaz
Who is the Current Minister of School Education in Punjab?,"A. Sheikh Alauddin
B. Chaudhry Muhammad Shafique

D. Yasir Humayun Sarfaraz",C. Rana Sikandar Hayat
"“Sindh Rawadari March” was Demonstrated on 13th October ,2024 in ___________?","A. Mirpur khas
B. Umar Kot
C. Hyderabad",D. Karachi
Who is the Current Chairman of Pakistan Telecom Authority (PTA)?,"A. Syed Bilal Shah
B. Major General (R) Amir Azeem Bajwa

D. Muhammad Naveed",C. Maj General (R) Hafeez Ur Rehman
Which country has recently conducted ‘Shamsheer-e-Sehra’ exercise to improve professional skills and operational procedures?,"B. Iran
C. Afghanistan
D. Iraq",A. Pakistan
Punjab Culture day was celebrated on _____________?,"A. 16 March
B. 15 March

D. 13 March",C. 14 March
Mehmood Khan Achakzai secured_______votes in presidential election 2024.?,"A. 180

C. 182
D. 183",B. 181
Asif Ali Zardari secured_______votes in presidential election 2024?,"B. 412
C. 413
D. 414",A. 411
Who is the Current Chief Minister of BALOCHISTAN?,"B. Abdul Quddus Bizenjo
C. Mir Ali Mardan Khan Domki
D. Ghous Bakhsh Barozai",A. Sarfraz Bugti
How many teams Participated in the 9th Edition of Pakistan Super League ( PSL) held in 2024 ?,"A. 5

C. 9
D. None of These",B. 6
"Which Edition of Pakistan Super League ( PSL) was being Played in February- March ,2024?","A. 7th
B. 8th

D. None of these",C. 9th
Which of the following teams appointed Female Coaching Staff first time in Pakistan Super League ( PSL ) history?,"A. Karachi Kings
B. Lahore Qalandars
C. Peshawar Zalmi",D. Multan Sultans
First Female Spin Bowling coach in Pakistan Super League ( PSL ) history is: _____________?,"A. Elsy Perry
B. Suzie Bates

D. None of these",C. Alex Hartley
Who becomes the ” First Female Fast- Bowling Coach” in Pakistan Super league ( PSL ) history .,"B. Kim Cotton
C. Alex Hartley
D. None of these",A. Dalton Catherine
"The famous Australian Women Presenter/Commentator since last couple of Editions of Pakistan Super League ,including PSL-9 held in 2024 is _________?","A. Elsy Perry
B. Suzie Bates

D. None of These",C. Erin Holland
Who is the Current Captain of Pakistan Women’s National Football team?,"A. Bismah Maroof
B. Rizwana Yasmeen
C. Malika-e- Noor",D. Maria Khan
Who is the Current President of Pakistan?,"A. Mamnoon Hussain
B. Dr. Arif Alvi

D. Aitzaz Ahsan",C. Asif Ali Zardari
Which Country will host UN Conference of Parties COP -29 Summit in November 2024 ?,"A. Afghanistan
B. Uzbekistan

D. None of these",C. Azerbaijan
Who is the Current Deputy speaker of Provincial Assembly of Balochistan?,"A. Suraya Bibi

C. Sadia Danish
D. None of These",B. Ghazala Gola
The book “The United States and the Turmoil in Afghanistan and Pakistan” is written by,"B. Sarah Chayes
C. Andrew Exum
D. None of These",A. Ahmed Rashid
Who is the Current Deputy Speaker of National Assembly of Pakistan?,"A. Raja Pervaiz Ashraf

C. Zahid Akram Durrani
D. Asad Qaisar",B. Syed Ghulam Mustafa Shah
President Alvi appointed __________as the caretaker Chief Justice of Balochistan High Court?,"A. Justice Naeem Akhtar Afgan

C. Justice Shujaat Ali Khan
D. Justice Ameeruddin Kakar",B. Justice Muhammad Hashim Khan Kakar
Who is the Current Speaker of KPK Assembly?,"A. Asad Qaiser

C. Mushtaq Ahmad Ghani
D. None of the Above",B. Babar Saleem Swati
Who is the Current Attorney General of Pakistan?,"A. Mr.Ashtar Ausaf Ali
B. Shehzad Ata Elahi

D. Mr.Salman Aslam Butt",C. Mansoor Usman Awan
Asif Ali Zardari has been elected as the President of Pakistan for the second time on ______________?,"A. 3rd March ,2024

C. 14th February ,2024
D. None of These","B. 9th March ,2024"
The Largest Provincial Assembly of Pakistan in terms of its Members is ____________?,"B. Sindh Assembly
C. Balochistan Assembly
D. None of these",A. Punjab Assembly
Syed Awais Qadir Shah has been elected as ________ speaker of Sindh Assembly .,"A. 10th
B. 11th

D. None of these",C. 12th
Who is the Current Deputy Speaker of KPK Assembly?,"A. M Atif Khan

C. Dr Mehr Taj Roghani
D. None of These",B. Suraya Bibi
Who is the Current Speaker of Balochistan Assembly?,"A. Siraj Durrani

C. Mir Jan Muhammad Jamali
D. None of These",B. Abdul Khaliq Achakzai
Who is the Current Deputy Speaker of Sindh Assembly?,"A. Javed Hanif

C. Rehana Leghari
D. Dost Mazari",B. Anthony Naveed
Who is the Current Speaker of Sindh Assembly?,"A. Syed Muzaffar Hussain Shah
B. Qaim Ali Shah

D. Agha Siraj Durrani",C. Awais Qadir Shah
Justice Malik Shahzad Ahmad Khan took oath as Chief Justice of Lahore High Court on _____________?,"A. 6 March, 2024

C. 9 March, 2024
D. None of These","B. 8 March, 2024"
Who is the current Chairman of Gwadar Port Authority (GPA)?,"A. Asim Saleem Bajwa
B. Naseer khan kashani

D. None of these",C. Passand Khan Buledi
Who is the Current Chief Minister of SINDH?,"B. Qaim Ali Shah
C. Zahid Qurban Alvi
D. None of These",A. Syed Murad Ali Shah
"Syed Murad Ali Shah has been appointed as Chief Minister ( CM ) of Sindh Province ,Consecutively for the ______time in 2024?","A. 2nd

C. 4th
D. None of These",B. 3rd
Awais Qadir Shah is the speaker of which province?,"B. Punjab
C. KPK
D. Balochistan",A. Sindh
Who is the Current Deputy Speaker of PUNJAB Assembly?,"A. Wasiq Abbasi
B. Asad Qaisar

D. None of These",C. Zaheer Iqbal Channar
Who is the Current Speaker of Punjab Assembly ?,"A. Jan Muhammad Jamali
B. Sibtain Khan

D. None of These",C. Malik Ahmad Khan
Who is the Current Pakistani High Commissioner to India?,"A. Zahid Nasrullah Khan

C. Aftab Hasan Khan
D. None of them",B. Saad Ahmad Warraich
Who is the first female Chief Minister of Punjab province?,"A. Benazir Bhutto
B. Maryam Aurangzeb

D. Asma Jahangir",C. Maryam Nawaz
Who is the current chairman of Pakistan Cricket Board?,"A. Najam Sethi
B. Zaka Ashraf
C. Ehsan Mani",D. Mohsin Naqvi
The Global Health Security Summit 2024 was held in which country ?,"A. Azerbaijan
B. Russia

D. Israel",C. Pakistan
In which year first general elections were held in Pakistan?,"A. 1960
B. 1965

D. None of These",C. 1970
How many members are there in the National Assembly of Pakistan 2024?,"B. 280
C. 266
D. None of These",A. 336
Current Election of 2024 were the __________ General Elections in Pakistan?,"A. 10th General Election
B. 11th General Election

D. None of These",C. 12th General Election
Current Deputy Chairman Senate is____________?,"A. Mufti Muneeb ur Rehman
B. Saleem mandviwalla

D. None of These",C. Syedaal Khan Nasar
"Hossein Amir Abdollahian ,the current Foreign Foreign Minister of Iran Visited to Pakistan on ___________?","B. 29 February, 2024
C. 29 March ,2024
D. None of these","A. 29 January ,2024"
"Name the Foreign Minister of Iran who visited to Pakistan on 29 January ,2024 ?","A. Sheikh Abdullah Bin Nahyan
B. Meer Abdul -Raqib Saqafi

D. Amir Qasim Suleimani",C. Hossein Amir Abdollahian
Pakistan’s former Prime Minister Imran Khan and his wife Bushra Khan were each handed a ________on 31/01/2024 in a case related to illegal selling of state gifts.,"B. 10-year jail sentence
C. 10 Year Disqualification
D. Both A and C",A. 14-year jail sentence
Pakistan sign an agreement  Cultural Property Protection with which counterpart?,"A. UNESCO

C. Italy
D. China",B. USA
"Which Country’s Foreign Minister visited Pakistan on 29 January ,2024 ?","A. Kuwait
B. UAE

D. Qatar",C. Iran
Which is the first province to introduce Teaching Licence Policy?,"A. Punjab

C. KPK
D. Balochistan",B. Sindh
"According to digital survey published  by Taylor & Francis (USA) and two Dawn journalists as Co researchers , how many people end their lives in Pakistan by committing suicide every day?","A. 10-14
B. 20-29
C. 23-40",D. 15-35
OGDCL tested new oil well in which district of Sindh on January 2024?,"A. Sukkhur

C. Jamshoro
D. Kashmore",B. Hyderabad
"According to the  recent report of Pakistan institute of education , about the performance of education sector. how many children ” out of  school”?","B. 20.6 million
C. 18.50 million
D. 12.24 million",A. 26.2 million
"Trace and Track system (TTS) launched by FBR , to check and counter the smuggling of ___________?","A. Non custom vehicles

C. Dollars
D. fabrics",B. cigarettes
"According to state bank of Pakistan , How much million dollars received by Pakistan as IMF second tranche?","B. $825.5 million
C. $765.5 million
D. $555.5 million",A. $705.6 million
Which Pakistani is the recent recipient of Religious freedom award from USA secretary of states?,"B. Mufti Taqi usmani
C. Molana Tariq Jameel
D. Anthony Jacob Dee",A. Peter Jacob
Which social worker give the title ” Ambassador of Peace” to Quaid e Azam Muhammad Ali Jinnah?,"A. Sharmain Obaid- Chinoy
B. Asma Jhangir
C. Lady Agusta Gordon",D. Sairo G. Naido
What was the Theme of ‘International Day of Education’ 2024 ?,"B. Learning by doing
C. Learning by earning
D. Readers are the leaders",A. Learning for lasting Peace
"According to election commission of Pakistan , how many candidates contesting in provincial and  national assembly election 2024 ?","B. 17500
C. 18816
D. 18500",A. 17816
"What is the name of operation launched by Pakistan on the reply of , Iran’s aggression on 16th January at Balochistan Pakistan?","A. Operation cold night
B. Operation Mar de Samachar
C. Operation sistan",D. Operation Marg Bar Samachar
Number of young voters in Pakistan approximately in 2024 election?,"B. 55.55 million
C. 60 million
D. 52.86 million",A. 56.86 million
Who is current Captain of Pakistan women’s Hockey Team?,"A. Binish Hayat

C. Ambreen Arshad
D. None of them",B. Rizwana Yasmeen
Who is the Current Chief Selector of Pakistan Cricket Team?,"A. Shahid Afridi

C. Wasim Akram
D. Inzmam ul Haque",B. Wahab Riaz
What is the date of 2024 general elections?,"A. 14 February
B. 5 February

D. 18 February",C. 8 February
"According to the Pakistan Economic Survey 2022/23 presented in the Senate, the Pakistan literacy rate is ________.","B. 65.8%
C. 55.4%
D. 70.1%",A. 62.8%
Who Is The Current Chief Election Commissioner Of Pakistan?,"A. FM Khan
B. Sardar Muhammad Raza Khan

D. Altaf Ibrahim Qureshi",C. Sikandar Sultan Raja
Who is the Current Ambassador of Pakistan to France?,"A. Mr Sajid Bilal

C. Asim Iftikhar
D. Mr Nasr Ullah Khan",B. Mumtaz Zahra Baloch
March against Baloch Genocide started under the leadership of ___________?,"A. Mama Qadeer Baloch
B. Samee Din Baloch

D. None of them",C. Dr. Mahrang Baloch
Which Martyrdom anniversary of Major Muhammad Akram Shaheed was observed on 5-Dec-2023?,"A. 51st

C. 53rd
D. 54th",B. 52nd
"In a first, Which city of Pakistan uses artificial rain to combat smog?","A. Karachi
B. Islamabad

D. Faisalabad",C. Lahore
Artificial Rain was used for the First time in which City of Pakistan:,"A. Hyderabad
B. Gujranwala
C. Nan kana Sahb",D. Lahore
"In November 2023, Where in Karachi the first ever Zipline adventure unveiled by Mayor Barrister Murtaza Wahab?","A. Zamzama Park

C. Talimi Bagh
D. Bagh Ibne Qasim",B. Safari Park
Which of the following country from Asia Pacific Group elected as Vice Chair of the UNESCO Executive Board for the term 2023-2025?,"B. Indonesia
C. Japan
D. Thailand",A. Pakistan
When the meeting between Lieutenant General Fahd bin Abdullah Al-Mutair (Commander of the Royal Saudi Land Forces) and General Syed Asim Munir take place?,"A. 24 November 2023

C. 22 November 2023
D. 29 November 2023",B. 27 November 2023
"In November 2023, which country pledged 25 billion dollars investment in Pakistan?","B. United States
C. China
D. Turkiye",A. United Arab Emirates
Who became the Caretaker Chief Minister of Khyber Pakhtunkhwa after Muhammad Azam Khan’s death(ex kp)?,"A. Syed Muhammad Ishtiaq

C. Mr. Akbar Ayub Khan
D. None of these",B. Syed Arshad Hussain Shah
When Caretaker Prime Minister of Pakistan Anwaar-ul-haq Kakar landed Abu Dhabi on an official visit to the United Arab Emirates?,"A. 18 November 2023
B. 23 November 2023

D. 28 November 2023",C. 26 November 2023
Which of the following country from Asia Pacific Group elected as Vice Chair of the UNESCO Executive Board for the term 2023-2025?,"B. Indonesia
C. Japan
D. Thailand",A. Pakistan
"As of October 2023, the United Nations estimates, What is the estimated number of Afghan refugees currently residing in Pakistan?","A. Over 1,600,000

C. Over 1,330,000
D. Over 250","B. Over 3,700,000"
Which Pakistan based startup secured the top position at the ‘ClimateLaunchpad Asia-Pacific’ finals?,"A. Green-Guard
B. He-Guard

D. Eco-Guard",C. She-Guard
"Recently in November 2023, Pakistan has officially filed its application to join which group?","A. OPEC

C. AUKUS
D. None of These",B. BRICS
The bilateral exercise SEA-GUARDIAN was conducted between Pakistan and China from ____________?,"A. 8-12 October 2023

C. 1-4 September 2023
D. None of these",B. 7-9 November 2023
SEA-GUARDIAN 2023 is a bilateral naval exercise conducted between _______________?,"B. PAKISTAN-INDIA
C. INDIA-USA
D. USA-AUSTRAILIA",A. PAKISTAN-CHINA
Which Pakistani Captain recently resigned from captency?,"A. M.Rizwan

C. Iftikhar Ahmad
D. None of These",B. Babar Azam
"Dr. Shukrullah Langove, from Quetta, who contracted the ____, lost his life on November 5, 2023, while being moved to Karachi for treatment.","A. COVID-19

C. Ebola Virus
D. HIV",B. Congo Virus
"The Special Investment Facilitation Council’s Pakistan Investment Roadshow held from November 5 to 7, 2023, in _________?","A. New York
B. Riyadh

D. Beijing",C. Dubai
"Lieutenant Colonel Muhammad Hassan Haider and three soldiers embraced Shahadat on November 6, 2023 during an intense exchange of fire in operation against terrorist in _______________?","A. Waziristan

C. Dera Ismail Khan
D. None of These",B. Tirah valley
Who has been Crowned Miss Trans Pakistan 2023?,"B. Sarah Gill
C. Khushboo Malik
D. None of these",A. Alina Khan
T20 WheelChair Asia Championship 2023 won by which team?,"A. Afghanistan
B. India
C. Nepal",D. Pakistan
According to the World Bank who was the top Borrower of International Development Association ( IDA) in the fiscal year 2023?,"A. Palestine

C. Turkiye
D. None of these",B. Pakistan
How many total number of Teams have Participated in One-day ( 50 overs ) Cricket World Cup 2023 ?,"B. 12
C. 14
D. None of These",A. 10
